Model,AUC,Accuracy,Precision,Recall,F1
XGBoost,0.8132910468169616,0.744131455399061,0.881619937694704,0.6927784577723378,0.7758738862234407
CatBoost,0.8130998813180861,0.7355242566510172,0.8856682769726248,0.6731946144430845,0.7649513212795549
RandomForest,0.8039704012085906,0.7183098591549296,0.8932874354561101,0.6352509179926561,0.7424892703862661
ExtraTrees,0.7990810780672106,0.7034428794992176,0.8828671328671329,0.6181150550795593,0.7271418286537077
DecisionTree,0.7858003860481046,0.7034428794992176,0.8699324324324325,0.6303549571603427,0.7310149041873669
