iter	Logloss
0	0.6764747797
1	0.6631656117
2	0.6494822431
3	0.6374549079
4	0.6268735399
5	0.6178899119
6	0.6106695679
7	0.6028687358
8	0.5957590128
9	0.5893975337
10	0.5837681754
11	0.5785165872
12	0.5744801356
13	0.5705881917
14	0.5667697112
15	0.5637196456
16	0.5602164038
17	0.5578166954
18	0.555217183
19	0.5532653173
20	0.5508121241
21	0.5488093641
22	0.5473395971
23	0.5459286529
24	0.5440391568
25	0.5423937724
26	0.5407659586
27	0.5395405627
28	0.5386631827
29	0.5376793581
30	0.5365131242
31	0.5359181482
32	0.5351869983
33	0.5346219095
34	0.5340397766
35	0.5332362593
36	0.5324619693
37	0.5318755619
38	0.5311975496
39	0.530535273
40	0.530037448
41	0.5295855145
42	0.5290759349
43	0.5285166074
44	0.5280577776
45	0.5276234902
46	0.5273917611
47	0.5269556952
48	0.5266286966
49	0.5260828791
50	0.5256283453
51	0.5252897629
52	0.5250798454
53	0.5246561003
54	0.5241938338
55	0.5236581282
56	0.5234924774
57	0.5229392997
58	0.5227204923
59	0.5224465349
60	0.5222744241
61	0.5220929972
62	0.521748755
63	0.5214398315
64	0.5211216192
65	0.520940679
66	0.520497315
67	0.5200969424
68	0.5199210577
69	0.5196165677
70	0.5194465243
71	0.5191107228
72	0.5190668143
73	0.5188097014
74	0.5185833729
75	0.5184055046
76	0.5181347992
77	0.5180742893
78	0.5178225954
79	0.5177550925
80	0.5175864673
81	0.5174067453
82	0.5173134094
83	0.5170978213
84	0.5168487307
85	0.516592132
86	0.5164209748
87	0.5162853191
88	0.51608349
89	0.5159213408
90	0.5156682823
91	0.5154032371
92	0.5151411036
93	0.5149760552
94	0.5147298416
95	0.514516056
96	0.5143585955
97	0.5141473537
98	0.514031737
99	0.5138654642
100	0.5136951605
101	0.5135398359
102	0.5132296093
103	0.513111569
104	0.5130354152
105	0.5127057849
106	0.5124285602
107	0.51232728
108	0.5121413473
109	0.5119045491
110	0.5116466978
111	0.5114737808
112	0.5113489912
113	0.5112509708
114	0.5110952723
115	0.5109909502
116	0.5108380698
117	0.5107322562
118	0.510478474
119	0.5103254639
120	0.5100510392
121	0.5098286592
122	0.509722609
123	0.5096503643
124	0.5095097968
125	0.509327332
126	0.5091175952
127	0.5090629918
128	0.5088361968
129	0.5087622689
130	0.5086515994
131	0.5084663662
132	0.5083545091
133	0.508223765
134	0.5081340251
135	0.5080652374
136	0.5079867284
137	0.5078555018
138	0.5076809293
139	0.5074230609
140	0.5072284132
141	0.5069749539
142	0.5068900363
143	0.5067604391
144	0.5066719902
145	0.5066158908
146	0.5065192985
147	0.506323775
148	0.5062137442
149	0.50605593
150	0.5059754792
151	0.5058385969
152	0.5057154468
153	0.50547453
154	0.5051784879
155	0.5051008582
156	0.5050072139
157	0.5048072055
158	0.5046698275
159	0.5044975961
160	0.5044475641
161	0.5042840998
162	0.5041716661
163	0.503975945
164	0.5038521227
165	0.5036052063
166	0.5034918304
167	0.5034568295
168	0.5032289384
169	0.5031173323
170	0.5030429849
171	0.5028942023
172	0.5027633919
173	0.5026393982
174	0.5025624573
175	0.5024343645
176	0.502341943
177	0.5021565135
178	0.5019903126
179	0.5019455153
180	0.5017908163
181	0.5017081065
182	0.5014968502
183	0.5013584259
184	0.5012491654
185	0.5010694872
186	0.5009765332
187	0.5008081867
188	0.5006292466
189	0.5004698272
190	0.500384032
191	0.5003347244
192	0.5002941132
193	0.5001946054
194	0.5000458582
195	0.4999321735
196	0.4997985097
197	0.4997188373
198	0.4995198482
199	0.4993770312
200	0.4991859444
201	0.4990628145
202	0.4988762955
203	0.4987615285
204	0.4986332961
205	0.4984619949
206	0.498375289
207	0.4982347644
208	0.4982104477
209	0.4980422502
210	0.4978526019
211	0.4977403622
212	0.4976365876
213	0.4975075757
214	0.4973920869
215	0.4973276657
216	0.4971982492
217	0.4970155293
218	0.4968936338
219	0.4966771838
220	0.4965035054
221	0.4963151243
222	0.4961034442
223	0.4958552879
224	0.4957409536
225	0.4956119242
226	0.4954871264
227	0.4954366004
228	0.4953995742
229	0.4952139956
230	0.4950096897
231	0.494949583
232	0.4949109768
233	0.4946850222
234	0.494572963
235	0.4945095165
236	0.4942971468
237	0.4942366103
238	0.494066031
239	0.493848574
240	0.4937416284
241	0.4935998255
242	0.4933514672
243	0.4932229048
244	0.4931077341
245	0.4930915684
246	0.4929648839
247	0.4928020586
248	0.4927846821
249	0.4926943056
250	0.4925289869
251	0.4925194563
252	0.492390037
253	0.4923744755
254	0.4923189751
255	0.492107325
256	0.4919781499
257	0.491785201
258	0.4916152414
259	0.4914096122
260	0.4912479332
261	0.4910315162
262	0.4909587269
263	0.4909311526
264	0.4906961679
265	0.4905295103
266	0.4903098096
267	0.4900851009
268	0.4899533513
269	0.4897793264
270	0.4896622274
271	0.489529469
272	0.4894704408
273	0.4894574505
274	0.4892611589
275	0.4892070367
276	0.4890301246
277	0.4888527657
278	0.4885894286
279	0.4883346986
280	0.4881969417
281	0.4880225574
282	0.4878517111
283	0.4876441352
284	0.4874834946
285	0.4872458428
286	0.4872342416
287	0.4870288421
288	0.4869670437
289	0.4867821099
290	0.4865846869
291	0.4864946883
292	0.4864411845
293	0.4862346543
294	0.4861268713
295	0.4858844339
296	0.4858019529
297	0.4856072013
298	0.4854880963
299	0.4853296928
