feature_1,feature_2,interaction_strength,interaction_signed_mean,nunique_1,nunique_2,output_file
pTstage,max_diameter,0.04254183,-0.020535577,5,77,xgboost_pdp_2d_pTstage__max_diameter.pdf
Age,Differentiation,0.023157569,-0.002161742,4336,3,xgboost_pdp_2d_Age__Differentiation.pdf
