threshold,FPR,TPR
inf,0.0,0.0
0.9638306,0.0,0.0014184397163120568
0.9465564,0.0,0.014184397163120567
0.94387865,0.00558659217877095,0.014184397163120567
0.90230805,0.00558659217877095,0.04397163120567376
0.90165734,0.0111731843575419,0.04397163120567376
0.8940297,0.0111731843575419,0.059574468085106386
0.8933724,0.01675977653631285,0.06099290780141844
0.887365,0.01675977653631285,0.06666666666666667
0.8847172,0.0223463687150838,0.06666666666666667
0.88004684,0.0223463687150838,0.06950354609929078
0.87976503,0.027932960893854747,0.06950354609929078
0.86809486,0.027932960893854747,0.08226950354609928
0.8669568,0.027932960893854747,0.0851063829787234
0.8663978,0.027932960893854747,0.08794326241134752
0.8651292,0.0335195530726257,0.08794326241134752
0.8491379,0.0335195530726257,0.10638297872340426
0.84825677,0.0335195530726257,0.10921985815602837
0.8475212,0.03910614525139665,0.10921985815602837
0.8416789,0.03910614525139665,0.11347517730496454
0.84089255,0.03910614525139665,0.11631205673758865
0.8400473,0.03910614525139665,0.11914893617021277
0.8378975,0.0446927374301676,0.11914893617021277
0.83683634,0.0446927374301676,0.12056737588652482
0.83450824,0.0446927374301676,0.12624113475177304
0.8292258,0.0446927374301676,0.1375886524822695
0.82885194,0.0446927374301676,0.14326241134751774
0.8286079,0.0446927374301676,0.1475177304964539
0.8282579,0.0446927374301676,0.14893617021276595
0.82585377,0.0446927374301676,0.1574468085106383
0.8257189,0.0446927374301676,0.15886524822695036
0.82445264,0.0446927374301676,0.16170212765957448
0.81871414,0.0446927374301676,0.1702127659574468
0.81539744,0.05027932960893855,0.1702127659574468
0.8125435,0.05027932960893855,0.17588652482269504
0.8124919,0.05027932960893855,0.17872340425531916
0.805559,0.05027932960893855,0.1900709219858156
0.80523986,0.05027932960893855,0.19290780141843972
0.8006302,0.05027932960893855,0.2028368794326241
0.7998519,0.061452513966480445,0.20425531914893616
0.7926598,0.061452513966480445,0.22127659574468084
0.79234844,0.0670391061452514,0.22127659574468084
0.7870936,0.0670391061452514,0.23120567375886525
0.7861221,0.0670391061452514,0.23404255319148937
0.7766255,0.0670391061452514,0.24680851063829787
0.77547187,0.07262569832402235,0.24822695035460993
0.7744251,0.0782122905027933,0.24822695035460993
0.77293515,0.0782122905027933,0.251063829787234
0.77291167,0.08379888268156424,0.251063829787234
0.7707976,0.08379888268156424,0.2524822695035461
0.77043575,0.0893854748603352,0.2524822695035461
0.7701427,0.0893854748603352,0.2553191489361702
0.769088,0.0893854748603352,0.2581560283687943
0.7668771,0.0893854748603352,0.26382978723404255
0.76672053,0.09497206703910614,0.26382978723404255
0.76576614,0.09497206703910614,0.26666666666666666
0.76170164,0.09497206703910614,0.27092198581560284
0.7610139,0.09497206703910614,0.27375886524822696
0.76075953,0.09497206703910614,0.275177304964539
0.75894004,0.09497206703910614,0.27801418439716313
0.7565789,0.1005586592178771,0.27801418439716313
0.7564116,0.1005586592178771,0.2794326241134752
0.7527603,0.1005586592178771,0.2822695035460993
0.75194806,0.1005586592178771,0.28368794326241137
0.75148314,0.10614525139664804,0.2865248226950355
0.7493124,0.10614525139664804,0.28936170212765955
0.74879426,0.11173184357541899,0.28936170212765955
0.7484629,0.11173184357541899,0.29219858156028367
0.7412558,0.11173184357541899,0.3021276595744681
0.7408781,0.11173184357541899,0.3049645390070922
0.7395648,0.11731843575418995,0.30921985815602837
0.73291385,0.11731843575418995,0.3219858156028369
0.7328512,0.11731843575418995,0.324822695035461
0.73184764,0.11731843575418995,0.32907801418439714
0.73013145,0.12290502793296089,0.32907801418439714
0.70728207,0.12290502793296089,0.3517730496453901
0.70718503,0.12849162011173185,0.3517730496453901
0.7067509,0.12849162011173185,0.35319148936170214
0.70669156,0.12849162011173185,0.35602836879432626
0.69370383,0.12849162011173185,0.36879432624113473
0.69314724,0.1340782122905028,0.36879432624113473
0.6904696,0.1340782122905028,0.3730496453900709
0.68902683,0.1340782122905028,0.375886524822695
0.68899566,0.1340782122905028,0.3773049645390071
0.68757874,0.1340782122905028,0.3801418439716312
0.67744774,0.1340782122905028,0.39290780141843973
0.67724824,0.13966480446927373,0.39290780141843973
0.6754164,0.13966480446927373,0.3971631205673759
0.67342657,0.13966480446927373,0.4014184397163121
0.67325425,0.13966480446927373,0.40283687943262414
0.67318326,0.13966480446927373,0.4056737588652482
0.67024326,0.13966480446927373,0.4099290780141844
0.6690984,0.1452513966480447,0.41134751773049644
0.66893667,0.1452513966480447,0.4127659574468085
0.6680557,0.15083798882681565,0.4127659574468085
0.66392463,0.15083798882681565,0.41843971631205673
0.6632329,0.15083798882681565,0.42127659574468085
0.65919125,0.15083798882681565,0.42411347517730497
0.65869534,0.15083798882681565,0.42836879432624114
0.64047974,0.15083798882681565,0.4397163120567376
0.63995355,0.1564245810055866,0.4397163120567376
0.6328738,0.1564245810055866,0.4482269503546099
0.6318373,0.16759776536312848,0.4482269503546099
0.62361735,0.16759776536312848,0.45673758865248226
0.6231997,0.17318435754189945,0.46099290780141844
0.6187161,0.17318435754189945,0.46382978723404256
0.61519325,0.18435754189944134,0.46382978723404256
0.615033,0.18435754189944134,0.4652482269503546
0.61469525,0.18994413407821228,0.4666666666666667
0.606788,0.18994413407821228,0.475177304964539
0.6067725,0.18994413407821228,0.47801418439716314
0.60674924,0.19553072625698323,0.47801418439716314
0.59809273,0.19553072625698323,0.48226950354609927
0.59773755,0.2011173184357542,0.48226950354609927
0.5972522,0.2011173184357542,0.4836879432624113
0.5958404,0.20670391061452514,0.4836879432624113
0.5951675,0.20670391061452514,0.4851063829787234
0.59512687,0.2122905027932961,0.4851063829787234
0.5946161,0.2122905027932961,0.48652482269503544
0.5935453,0.22346368715083798,0.48652482269503544
0.5919374,0.22346368715083798,0.48936170212765956
0.5915155,0.22905027932960895,0.48936170212765956
0.5888165,0.22905027932960895,0.49361702127659574
0.58605856,0.2346368715083799,0.49361702127659574
0.58253294,0.2346368715083799,0.502127659574468
0.58050805,0.2346368715083799,0.5078014184397163
0.5790665,0.2346368715083799,0.5092198581560283
0.573968,0.2346368715083799,0.5120567375886524
0.5675039,0.2346368715083799,0.5219858156028369
0.56732565,0.24022346368715083,0.5234042553191489
0.5638579,0.24022346368715083,0.526241134751773
0.56305325,0.24022346368715083,0.5290780141843971
0.5630166,0.24022346368715083,0.5304964539007092
0.5598712,0.24581005586592178,0.5304964539007092
0.55938053,0.24581005586592178,0.5333333333333333
0.5591528,0.24581005586592178,0.5390070921985816
0.55895555,0.24581005586592178,0.5404255319148936
0.55750173,0.24581005586592178,0.5432624113475177
0.5555968,0.24581005586592178,0.5446808510638298
0.55466,0.25139664804469275,0.5446808510638298
0.5534083,0.25139664804469275,0.5460992907801419
0.5530233,0.25139664804469275,0.548936170212766
0.5451791,0.25139664804469275,0.5617021276595745
0.544481,0.2569832402234637,0.5617021276595745
0.5424234,0.2569832402234637,0.5673758865248227
0.54166144,0.26256983240223464,0.5716312056737589
0.54132605,0.26256983240223464,0.573049645390071
0.54035264,0.2681564245810056,0.573049645390071
0.5391462,0.2681564245810056,0.5758865248226951
0.53455675,0.2681564245810056,0.5815602836879432
0.5340194,0.2737430167597765,0.5843971631205673
0.53296894,0.2737430167597765,0.5886524822695035
0.5322546,0.27932960893854747,0.5900709219858156
0.5307783,0.2905027932960894,0.5900709219858156
0.5305415,0.2905027932960894,0.5914893617021276
0.52825963,0.29608938547486036,0.5971631205673759
0.52740896,0.29608938547486036,0.5985815602836879
0.52653617,0.3016759776536313,0.5985815602836879
0.5246842,0.3016759776536313,0.6028368794326241
0.52444166,0.3016759776536313,0.6056737588652482
0.5212561,0.3016759776536313,0.6085106382978723
0.5206775,0.3016759776536313,0.6141843971631206
0.51765335,0.3016759776536313,0.6170212765957447
0.511049,0.31843575418994413,0.6170212765957447
0.5082048,0.31843575418994413,0.6198581560283688
0.50612104,0.3240223463687151,0.6198581560283688
0.50490093,0.3240223463687151,0.6226950354609929
0.50423974,0.3240223463687151,0.6269503546099291
0.50246775,0.3240223463687151,0.6283687943262412
0.4987815,0.329608938547486,0.6283687943262412
0.4968729,0.329608938547486,0.6312056737588653
0.49653932,0.33519553072625696,0.6312056737588653
0.4945071,0.33519553072625696,0.6340425531914894
0.4928848,0.33519553072625696,0.6382978723404256
0.49230757,0.33519553072625696,0.6397163120567376
0.49228203,0.3407821229050279,0.6397163120567376
0.49054363,0.3407821229050279,0.6411347517730497
0.48983508,0.3463687150837989,0.6411347517730497
0.4894835,0.3463687150837989,0.6453900709219859
0.4816991,0.3463687150837989,0.6539007092198581
0.4786143,0.36312849162011174,0.6539007092198581
0.47704503,0.36312849162011174,0.6553191489361702
0.47662187,0.3687150837988827,0.6553191489361702
0.46943772,0.3687150837988827,0.6609929078014184
0.46862003,0.3743016759776536,0.6609929078014184
0.46845502,0.3743016759776536,0.6624113475177305
0.46808994,0.3743016759776536,0.6652482269503546
0.46800837,0.37988826815642457,0.6666666666666666
0.46796015,0.37988826815642457,0.6680851063829787
0.4678076,0.3854748603351955,0.6680851063829787
0.46503735,0.3854748603351955,0.6737588652482269
0.463569,0.39664804469273746,0.6737588652482269
0.4574703,0.39664804469273746,0.6794326241134752
0.45637077,0.39664804469273746,0.6822695035460993
0.45247346,0.39664804469273746,0.6893617021276596
0.4514587,0.4022346368715084,0.6936170212765957
0.44887355,0.4022346368715084,0.6978723404255319
0.44765133,0.40782122905027934,0.6978723404255319
0.44752556,0.40782122905027934,0.699290780141844
0.44636932,0.40782122905027934,0.7035460992907802
0.44486758,0.40782122905027934,0.7063829787234043
0.44453254,0.4134078212290503,0.7063829787234043
0.442233,0.4134078212290503,0.7120567375886525
0.44150233,0.4245810055865922,0.7134751773049646
0.43952006,0.4245810055865922,0.7177304964539007
0.43887228,0.43575418994413406,0.7177304964539007
0.43874905,0.43575418994413406,0.7191489361702128
0.4359653,0.43575418994413406,0.7219858156028369
0.43494967,0.43575418994413406,0.7276595744680852
0.43380427,0.43575418994413406,0.7304964539007093
0.43319675,0.441340782122905,0.7304964539007093
0.43124178,0.441340782122905,0.7375886524822695
0.4297735,0.441340782122905,0.7404255319148936
0.4297396,0.44692737430167595,0.7418439716312056
0.42281094,0.44692737430167595,0.75177304964539
0.420341,0.45251396648044695,0.7531914893617021
0.41942555,0.46368715083798884,0.7531914893617021
0.4156079,0.46368715083798884,0.7574468085106383
0.4137386,0.48044692737430167,0.7574468085106383
0.41020176,0.48044692737430167,0.7617021276595745
0.40952754,0.48044692737430167,0.7645390070921986
0.40923557,0.4860335195530726,0.7659574468085106
0.40923038,0.4860335195530726,0.7673758865248227
0.40813693,0.49162011173184356,0.7673758865248227
0.4040847,0.49162011173184356,0.7687943262411348
0.40371576,0.4972067039106145,0.7702127659574468
0.40320542,0.5083798882681564,0.7716312056737589
0.40315562,0.5139664804469274,0.774468085106383
0.39900517,0.5139664804469274,0.7829787234042553
0.39847043,0.5195530726256983,0.7858156028368795
0.39775756,0.5307262569832403,0.7886524822695036
0.3935744,0.5307262569832403,0.7929078014184398
0.39292148,0.547486033519553,0.7929078014184398
0.39122036,0.547486033519553,0.7943262411347518
0.3906912,0.553072625698324,0.7943262411347518
0.3869805,0.553072625698324,0.8028368794326242
0.38637573,0.5586592178770949,0.8028368794326242
0.38528535,0.5586592178770949,0.8042553191489362
0.38471404,0.5642458100558659,0.8070921985815603
0.38401866,0.5698324022346368,0.8070921985815603
0.3827891,0.5698324022346368,0.8085106382978723
0.3823139,0.5754189944134078,0.8085106382978723
0.38074827,0.5754189944134078,0.8127659574468085
0.38073787,0.5865921787709497,0.8127659574468085
0.38059378,0.5865921787709497,0.8141843971631205
0.3805537,0.5921787709497207,0.8141843971631205
0.37966835,0.5921787709497207,0.8156028368794326
0.3796594,0.5921787709497207,0.8198581560283688
0.37935492,0.5921787709497207,0.8212765957446808
0.3777784,0.6033519553072626,0.8212765957446808
0.37745357,0.6089385474860335,0.8226950354609929
0.37714842,0.6145251396648045,0.8226950354609929
0.37623245,0.6145251396648045,0.8241134751773049
0.3761667,0.6201117318435754,0.8241134751773049
0.37560406,0.6201117318435754,0.8283687943262411
0.37499955,0.6256983240223464,0.8283687943262411
0.37294927,0.6256983240223464,0.8297872340425532
0.3728119,0.6368715083798883,0.8297872340425532
0.37122315,0.6480446927374302,0.8297872340425532
0.3708509,0.6480446927374302,0.8312056737588652
0.36894077,0.659217877094972,0.8312056737588652
0.36817172,0.659217877094972,0.8326241134751773
0.36791545,0.664804469273743,0.8326241134751773
0.36590984,0.664804469273743,0.8354609929078014
0.36551714,0.6703910614525139,0.8354609929078014
0.36463425,0.6703910614525139,0.8382978723404255
0.36006448,0.6703910614525139,0.8439716312056738
0.35985994,0.6759776536312849,0.8439716312056738
0.35972908,0.6759776536312849,0.8453900709219858
0.35955533,0.6815642458100558,0.8453900709219858
0.3522701,0.6815642458100558,0.8539007092198582
0.34970164,0.6871508379888268,0.8539007092198582
0.34909996,0.6871508379888268,0.8553191489361702
