Metric,Value
AUC,0.69272554380126
Accuracy,0.6380090497737556
Precision,0.8842315369261478
Recall/Sensitivity,0.6283687943262412
Specificity,0.6759776536312849
F1,0.7346600331674958
TN,121.0
FP,58.0
FN,262.0
TP,443.0
